"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5026","Login Test","vibetestq","2026-06-19","passed","2026-06-19","OrangeHRM End to End","POMTestSerialMode.spec.ts","",""
"","9091","Add Employee","vibetestq","2026-06-19","passed","2026-06-19","OrangeHRM End to End","POMTestSerialMode.spec.ts","",""
